dataset,method,run_name,seed,rank,alpha,amp_strategy,head_lr_scale,router_lr_scale,adapter_lr_scale,requested_batch,actual_batch,effective_batch,precision,recall,mAP50,mAP50_95,best_epoch,epochs_completed,trainable_params,trainable_pct,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,exit_code,queue_execution_status,formal_validity_status,failure_reason,recovery_status,config_signature,evidence_path,result_dir,log_path
VisDrone,Head-only,phase2_visdrone_head_only_seed0_b1,0,0,0,FP32,1.0,0.5,0.1,1,not_executed,64,unknown,unknown,unknown,unknown,unknown,0,349278,13.110435633202986,23.0,407.396,unknown,1,skipped_duplicate_reference,not_executed,EXISTING key omitted batch and referenced the same b8 directory; no independent execution evidence,none,not_executed:visdrone:head_only:seed0:requested_batch=1,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log
VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b8,0,0,0,FP32,1.0,0.5,0.1,8,8,64,0.27769,0.19034,0.13627,0.06536,3,4,903134,33.89987395472129,23.0,196.172,unknown,1,failed,failed,exit_code=1; OOM observed,none,"{""amp"":false,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":13,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b8.log
VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b4,0,0,0,FP32,1.0,0.5,0.1,4,4,64,0.35764,0.28831,0.25819,0.14359,30,30,903134,33.89987395472129,22.5,1705.06,6.4,0,completed,passed,,none,"{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":13,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b4/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b4/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b4.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b4/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b4.log
VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b8,0,0,0,FP32,1.0,0.5,0.1,8,8,64,0.21674,0.19025,0.12864,0.0638,6,6,2116193,79.43303647505631,23.0,423.683,unknown,1,failed,failed,exit_code=1; OOM observed,none,"{""amp"":false,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":10,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Last stage + Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b8.log
VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b4,0,0,0,FP32,1.0,0.5,0.1,4,4,64,0.37922,0.29369,0.27054,0.14988,28,30,2116193,79.43303647505631,22.5,1745.97,5.4,0,completed,passed,,none,"{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":10,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Last stage + Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b4/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b4/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b4.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b4/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b4.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b8,0,0,0,FP32,1.0,0.5,0.1,8,4,64,0.37563,0.28796,0.27186,0.15104,29,30,2664106,99.99939942690312,22.7,1997.55,1.7,0,completed,failed,OOM observed; automatic batch recovery; excluded from formal protocol,"oom_recovered_diagnostic: requested_batch=8, actual_batch=4","{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b8.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b4,0,0,0,FP32,1.0,0.5,0.1,4,4,64,0.38332,0.29447,0.27708,0.15527,30,30,2664106,99.99939942690312,23.0,1912.46,5.6,0,completed,passed,,none,"{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b4/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b4/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b4.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b4/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b4.log
VisDrone,Stable LoRA,phase2_visdrone_stable_lora_seed0,0,4,8,FP32,1.0,0.5,0.1,8,8,64,0.09139,0.09525,0.05444,0.02878,2,17,410734,15.056,23.0,1502.15,13.7,0,completed,failed,OOM observed,none,"{""amp"":false,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Stable LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed0/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed0/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0.log;/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0.log
VisDrone,Partial fine-tuning + LoRA,phase2_visdrone_partial_lora_seed0_b8,0,4,8,FP32,1.0,0.5,0.1,8,8,64,0.28878,0.18068,0.15596,0.08565,30,30,967134,35.45054070162551,23.0,2776.67,25.6,0,completed,failed,OOM observed,none,"{""amp"":false,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":[13,14,15,16,17,18,19,20,21,22,23,24],""lr0"":0.001,""lrf"":0.01,""method"":""Partial fine-tuning + LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_partial_lora_seed0_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_partial_lora_seed0_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_partial_lora_seed0_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_partial_lora_seed0_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_partial_lora_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_partial_lora_seed0_b8.log
VisDrone,AMP-safe LoRA,phase2_visdrone_amp_safe_lora_seed0_b8,0,4,8,AMP-safe implementation,1.0,0.5,0.1,8,8,64,unknown,unknown,unknown,unknown,unknown,0,evidence_missing,evidence_missing,evidence_missing,unknown,unknown,1,failed,implementation_failed,implementation_failed: Conv2d.amp_safe_forward missing; exit_code=1; results.csv missing; best.pt missing; last.pt missing,none,"{""amp"":true,""batch"":8,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":8,""lora_lr_mult"":0.1,""lora_r"":4,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""AMP-safe LoRA"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_amp_safe_lora_seed0_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_amp_safe_lora_seed0_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_amp_safe_lora_seed0_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_amp_safe_lora_seed0_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_amp_safe_lora_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_amp_safe_lora_seed0_b8.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed1,1,0,0,FP32,1.0,0.5,0.1,16,16,64,0.41243,0.77071,0.51024,0.36552,32,40,2114633,79.42098625309006,6.51,475.534,1.8,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":10,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Last stage + Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed1/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed1/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed1.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed1/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed1,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed1.log
Brain Tumor,Last stage + Neck + Head,phase2_brain_tumor_last_stage_neck_head_seed2,2,0,0,FP32,1.0,0.5,0.1,16,16,64,0.4517,0.81704,0.56568,0.40944,35,40,2114633,79.42098625309006,6.52,453.146,2.9,0,completed,passed,,none,"{""amp"":false,""batch"":16,""data"":""ultralytics/cfg/datasets/brain-tumor.yaml"",""epochs"":40,""freeze"":10,""imgsz"":640,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.0008,""lrf"":0.01,""method"":""Last stage + Neck + Head"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":5}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed2/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed2/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed2.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed2/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_brain_tumor_last_stage_neck_head_seed2,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_brain_tumor_last_stage_neck_head_seed2.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b8,1,0,0,FP32,1.0,0.5,0.1,8,4,64,0.36396,0.30177,0.27866,0.15486,30,30,2664106,99.99939942690312,23.0,1846.65,16.1,0,completed,failed,OOM observed; automatic batch recovery; excluded from formal protocol,"oom_recovered_diagnostic: requested_batch=8, actual_batch=4","{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b8.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b4,1,0,0,FP32,1.0,0.5,0.1,4,4,64,0.37778,0.30202,0.2773,0.15401,30,30,2664106,99.99939942690312,23.0,1886.18,4.9,0,completed,passed,,none,"{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b4/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b4/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b4.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b4/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b4.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b8,2,0,0,FP32,1.0,0.5,0.1,8,4,64,0.39282,0.29252,0.27648,0.15448,29,30,2664106,99.99939942690312,23.0,2052.02,1.8,0,completed,failed,OOM observed; automatic batch recovery; excluded from formal protocol,"oom_recovered_diagnostic: requested_batch=8, actual_batch=4","{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b8/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b8/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b8.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b8/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b8.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b4,2,0,0,FP32,1.0,0.5,0.1,4,4,64,0.38523,0.29506,0.27211,0.15097,28,30,2664106,99.99939942690312,23.0,1892.95,5.3,0,completed,passed,,none,"{""amp"":false,""batch"":4,""data"":""ultralytics/cfg/datasets/VisDrone.yaml"",""epochs"":30,""freeze"":null,""imgsz"":768,""lora_alpha"":0,""lora_lr_mult"":0.1,""lora_r"":0,""lora_unfreeze_layers"":null,""lr0"":0.001,""lrf"":0.01,""method"":""Full fine-tuning"",""model"":""/root/autodl-tmp/YOLO-Master/weights/YOLO-Master-EsMoE-N.pt"",""moe_router_lr_scale"":0.5,""optimizer"":""AdamW"",""warmup_epochs"":3.0}",/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b4/args.yaml;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b4/results.csv;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b4.log;/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b4/run_manifest.json,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b4.log
