scene,rank,alpha,run_name,run_dir,status,mAP50,mAP50_95,precision,recall,best_epoch,trainable_params,adapter_params,train_time_min,peak_gpu_mem_gb,weights_transferred,weights_total,weights_transfer_ratio,nan_status,gradient_checkpointing_requested,gradient_checkpointing_actual,effective_lora_backend,log_path,manifest_path,branch,git_commit,git_dirty,manifest_started_at,manifest_finished_at,exit_code,success,python_version,pytorch_version,cuda_version,gpu_name,operating_system
brain_tumor,4,8,brain_tumor_r4_stable_v1_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r4_stable_v1_seed0,completed,0.11416,0.06395,0.39918,0.06107,8,409174,64000,5.46,7.460,760,811,0.9371,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r4_stable_v1_seed0/run_manifest.json,issue-50-lora-reproduction,45566ba0eab349872c37c53a63a72bb062ea9015,false,2026-07-27T08:43:22+08:00,2026-07-27T08:49:14+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
brain_tumor,8,16,brain_tumor_r8_stable_v1_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r8_stable_v1_seed0,completed,0.11313,0.0618,0.43074,0.06191,4,473174,128000,4.56,7.580,760,811,0.9371,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r8_stable_v1_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r8_stable_v1_seed0/run_manifest.json,issue-50-lora-reproduction,643b0a0368e0b662dbf330db411f6072b5eb6db3,false,2026-07-27T08:49:40+08:00,2026-07-27T08:54:44+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
brain_tumor,16,32,brain_tumor_r16_stable_v1_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/brain_tumor_r16_stable_v1_seed0,completed,0.09309,0.04821,0.01114,0.26982,18,601174,256000,7.62,7.580,760,811,0.9371,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r16_stable_v1_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/brain_tumor_r16_stable_v1_seed0/run_manifest.json,issue-50-lora-reproduction,811da67132aaa97d5ceff8c538360751efb14ba5,false,2026-07-27T08:59:16+08:00,2026-07-27T09:07:19+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
visdrone,4,8,visdrone_r4_stable_v2_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed0,completed,0.05444,0.02878,0.09139,0.09525,2,410734,64000,25.08,23.000,763,811,0.9408,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0/run_manifest.json,issue-50-lora-reproduction,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,false,2026-07-27T11:12:46+08:00,2026-07-27T11:38:25+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
visdrone,8,16,visdrone_r8_stable_v2_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r8_stable_v2_seed0,completed,0.05286,0.02811,0.09106,0.09204,2,474734,128000,26.10,23.000,763,811,0.9408,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r8_stable_v2_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r8_stable_v2_seed0/run_manifest.json,issue-50-lora-reproduction,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,false,2026-07-27T11:38:47+08:00,2026-07-27T12:05:33+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
visdrone,16,32,visdrone_r16_stable_v2_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r16_stable_v2_seed0,completed,0.05361,0.02862,0.0909,0.0934,2,602734,256000,29.28,23.000,763,811,0.9408,not_detected,true,skipped_moe_incompatible,peft,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r16_stable_v2_seed0.log,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r16_stable_v2_seed0/run_manifest.json,issue-50-lora-reproduction,ac87a1b16e7e3d7a0d0fd5fe056f17c191e05dad,false,2026-07-27T12:05:47+08:00,2026-07-27T12:35:38+08:00,0,true,"3.12.5 | packaged by conda-forge | (main, Aug  8 2024, 18:36:51) [GCC 12.4.0]",2.5.1+cu124,12.4,NVIDIA GeForce RTX 4090,Linux-5.15.0-78-generic-x86_64-with-glibc2.35
