dataset,method,run_name,seed,rank,alpha,amp_strategy,head_lr_scale,router_lr_scale,adapter_lr_scale,physical_batch,effective_batch,precision,recall,mAP50,mAP50_95,best_epoch,trainable_params,trainable_pct,peak_gpu_mem_gib,train_time_s,inference_ms_per_image,nan_inf_recovery,artifacts_complete,exit_code,classification,result_dir,log_path
VisDrone,AMP-safe LoRA,phase2_visdrone_amp_safe_lora_seed0_b8,0,4,8,AMP-safe LoRA FP32 path,1.0,0.5,0.1,8,64,0.0,0.0,0.0,0.0,0,410734,15.056,0.0,0.0,0.0,False,False,1,failure,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_amp_safe_lora_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_amp_safe_lora_seed0_b8.log
VisDrone,Diagnostic,visdrone_r4_stable_v2_seed0,0,4,8,FP32,1.0,0.5,0.1,8,64,0.09139,0.09525,0.05444,0.02878,2,410734,15.056,23.0,1502.15,13.7,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed0.log
VisDrone,Diagnostic,visdrone_r4_stable_v2_seed1,1,4,8,FP32,1.0,0.5,0.1,8,64,0.20071,0.09847,0.05774,0.02962,2,410734,15.056,23.0,1981.04,4.3,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/visdrone_r4_stable_v2_seed1,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/visdrone_r4_stable_v2_seed1.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b4,0,0,0,FP32,1.0,0.5,0.0,4,64,0.38332,0.29447,0.27708,0.15527,30,0,0.0,23.0,1912.46,5.6,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b4.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed0_b8,0,0,0,FP32,1.0,0.5,0.0,4,64,0.37563,0.28796,0.27186,0.15104,29,0,0.0,22.7,1997.55,1.7,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed0_b8.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b4,1,0,0,FP32,1.0,0.5,0.0,4,64,0.37778,0.30202,0.2773,0.15401,30,0,0.0,23.0,1886.18,4.9,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b4.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed1_b8,1,0,0,FP32,1.0,0.5,0.0,4,64,0.36396,0.30177,0.27866,0.15486,30,0,0.0,23.0,1846.65,16.1,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed1_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed1_b8.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b4,2,0,0,FP32,1.0,0.5,0.0,4,64,0.38523,0.29506,0.27211,0.15097,28,0,0.0,23.0,1892.95,5.3,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b4.log
VisDrone,Full fine-tuning,phase2_visdrone_full_finetune_seed2_b8,2,0,0,FP32,1.0,0.5,0.0,4,64,0.39282,0.29252,0.27648,0.15448,29,0,0.0,23.0,2052.02,1.8,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_full_finetune_seed2_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_full_finetune_seed2_b8.log
VisDrone,Head-only,visdrone_head_only_seed0,0,0,0,FP32,1.0,0.5,0.0,8,64,0.23925,0.15415,0.09974,0.04994,6,2664106,13.1104,23.0,407.396,0.0,False,True,1,failure,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/baselines/visdrone_head_only_seed0,/root/autodl-tmp/YOLO-Master/runs/issue50/formal/logs/baselines/visdrone_head_only_seed0.log
VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b4,0,0,0,FP32,1.0,0.5,0.0,4,64,0.37922,0.29369,0.27054,0.14988,28,0,0.0,22.5,1745.97,5.4,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b4.log
VisDrone,Last stage + Neck + Head,phase2_visdrone_last_stage_neck_head_seed0_b8,0,0,0,FP32,1.0,0.5,0.0,8,64,0.21674,0.19025,0.12864,0.0638,6,2664106,0.0,23.0,423.683,0.0,False,True,1,failure,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_last_stage_neck_head_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_last_stage_neck_head_seed0_b8.log
VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b4,0,0,0,FP32,1.0,0.5,0.0,4,64,0.35764,0.28831,0.25819,0.14359,30,0,0.0,22.5,1705.06,6.4,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b4,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b4.log
VisDrone,Neck + Head,phase2_visdrone_neck_head_seed0_b8,0,0,0,FP32,1.0,0.5,0.0,8,64,0.27769,0.19034,0.13627,0.06536,3,2664106,0.0,23.0,196.172,0.0,False,True,1,failure,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_neck_head_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_neck_head_seed0_b8.log
VisDrone,Neck + Head + LoRA,phase2_visdrone_partial_lora_seed0_b8,0,4,8,FP32,1.0,0.5,0.1,8,64,0.28878,0.18068,0.15596,0.08565,30,410734,15.056,23.0,2776.67,25.6,False,True,0,formal,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/phase2_visdrone_partial_lora_seed0_b8,/root/autodl-tmp/YOLO-Master/runs/issue50/phase2/logs/phase2_visdrone_partial_lora_seed0_b8.log
